disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Hemorrhoids,6.51,High,"Diet Quality, Environmental Factors, Smoking Status","Diet, Stress",Moderate,Low,5.48,6.29,Moderate,2.88,9.91,8.96,4.21,5.82,7.74,7.82,9.22,7.99,3.46,5.54,9.65,4.83,3.08
Gallstones,5.74,Moderate,"BMI, Environmental Factors, Diet Quality","Exercise, Sleep",High,High,7.92,6.45,High,7.16,2.8,7.07,5.01,3.97,6.39,7.68,1.37,1.73,7.78,6.54,9.3,7.6,5.98
UTI,5.25,Moderate,"Family History, BMI, Diet Quality","Sleep, Stress",Moderate,High,5.34,6.45,High,7.78,2.74,7.26,5.5,3.15,8.63,4.26,6.95,1.83,4.67,4.35,5.18,2.52,8.72
Back Pain,4.97,Moderate,"Blood Sugar Level, Stress Level, Age","Smoking, Exercise",High,High,4.82,6.17,Low,4.56,2.06,9.64,3.04,6.92,7.46,9.96,1.77,1.51,7.03,4.72,3.81,4.03,3.06
Coronary Artery Disease,5.66,Moderate,"BMI, Blood Sugar Level, Sleep Quality","Diet, Stress",Moderate,Low,5.36,7.17,Low,3.47,9.93,7.02,7.44,6.74,3.06,4.65,5.0,8.94,1.42,9.35,1.87,8.96,1.42
Flu,5.02,Moderate,"BMI, Gender, Diet Quality","Diet, Sleep",Low,Low,5.0,5.03,Low,5.96,4.47,9.76,4.87,7.78,5.28,6.96,3.58,1.07,1.75,6.33,1.0,9.3,2.18
ADHD,6.3,Moderate,"Diet Quality, Smoking Status, Age","Exercise, Smoking",Low,Low,7.74,6.02,Low,9.04,6.3,3.49,6.6,5.03,7.28,6.21,5.01,4.72,2.54,6.46,9.72,6.95,8.85
Rheumatoid Arthritis,5.11,Moderate,"Sleep Quality, Cholesterol Level, BMI","Exercise, Diet",Moderate,Low,7.02,5.21,High,5.89,2.92,9.02,1.93,2.93,8.13,4.37,6.56,2.92,2.99,5.38,8.57,7.37,2.52
Panic Disorder,4.93,Moderate,"Family History, Diet Quality, Stress Level","Smoking, Sleep",High,Low,4.8,5.76,Moderate,7.76,3.55,8.05,7.81,3.97,6.64,3.03,9.02,1.28,3.6,5.37,1.51,4.11,3.3
Hypertension,6.37,Moderate,"Alcohol Consumption, Diet Quality, Gender","Sleep, Exercise",High,Moderate,8.45,7.85,Low,7.26,2.46,9.62,7.78,8.55,7.43,3.06,8.4,8.89,8.39,4.66,4.37,2.51,5.81
Metabolic Syndrome,6.4,Moderate,"Gender, Alcohol Consumption, Cholesterol Level","Smoking, Stress",Low,Moderate,6.69,5.9,Low,7.99,4.49,5.19,7.08,8.18,9.01,2.3,8.94,8.17,5.57,7.34,5.84,5.12,4.32
Chickenpox,5.37,Moderate,"Environmental Factors, Smoking Status, Blood Pressure","Diet, Sleep",High,Moderate,6.07,5.39,Low,8.58,2.7,8.81,1.03,7.84,6.66,3.22,1.16,7.71,6.26,3.66,9.85,3.07,4.61
Epilepsy,6.75,High,"Sleep Quality, Blood Sugar Level, Environmental Factors","Sleep, Diet",High,Low,6.66,8.09,Low,4.53,9.81,4.77,3.08,2.92,8.82,8.78,8.6,6.26,7.61,9.68,2.45,9.45,7.76
Dermatitis,5.09,Moderate,"BMI, Environmental Factors, Diet Quality","Diet, Stress",High,Moderate,4.56,6.49,Low,5.09,5.27,8.42,4.77,3.33,9.03,7.11,1.44,5.72,2.62,4.72,5.54,3.67,4.6
Thyroid Disorder,5.06,Moderate,"Physical Activity, BMI, Smoking Status","Exercise, Smoking",Low,Low,4.83,4.65,Moderate,9.85,9.88,2.14,3.03,2.36,3.19,3.19,9.11,5.56,1.22,9.96,1.25,2.04,8.07
Crohns Disease,6.38,Moderate,"Environmental Factors, Gender, Physical Activity","Sleep, Exercise",Unknown,Moderate,7.98,7.8,High,9.37,7.23,7.0,3.4,5.47,3.19,9.41,3.33,7.49,4.09,5.6,4.86,9.75,9.17
Hypothyroidism,5.38,Moderate,"Cholesterol Level, Age, Alcohol Consumption","Sleep, Exercise",Unknown,Low,5.44,5.51,High,9.1,3.0,5.04,1.11,1.74,8.15,7.34,5.47,8.71,3.59,5.34,8.32,4.16,4.23
Sinusitis,5.62,Moderate,"Stress Level, Environmental Factors, Cholesterol Level","Exercise, Stress",Low,Moderate,6.58,6.2,Low,6.36,3.37,3.94,3.6,7.35,2.0,9.97,6.35,3.89,8.11,1.39,7.54,9.44,5.34
Rheumatoid Arthritis,6.47,Moderate,"Age, Family History, Environmental Factors","Stress, Sleep",High,Moderate,6.28,8.28,Low,8.4,8.71,9.7,7.02,3.62,3.45,9.48,3.28,9.8,7.34,3.94,7.83,4.59,3.49
Food Poisoning,4.2,Moderate,"Sleep Quality, Age, Cholesterol Level","Smoking, Stress",Moderate,High,5.8,4.62,Low,2.52,5.77,6.67,1.73,3.2,6.18,2.17,4.79,9.74,1.39,2.64,3.12,7.59,1.28
Psoriasis,6.12,Moderate,"Blood Pressure, Blood Sugar Level, Gender","Exercise, Sleep",High,High,6.96,6.48,Low,5.5,1.66,5.42,8.08,1.55,8.62,8.86,6.08,9.39,6.58,4.29,7.87,9.67,2.14
Metabolic Syndrome,5.0,Moderate,"Age, Smoking Status, Blood Sugar Level","Smoking, Sleep",Moderate,Low,6.5,4.82,Moderate,2.48,6.3,4.7,2.58,2.43,7.27,5.67,8.28,3.4,4.68,3.55,8.46,2.81,7.37
Anemia,4.82,Moderate,"Blood Pressure, Age, Smoking Status","Stress, Diet",Low,High,6.0,5.8,Low,5.42,4.79,6.31,9.88,6.41,1.95,2.34,8.82,2.45,5.52,4.71,2.19,2.99,3.74
Dermatitis,4.6,Moderate,"Diet Quality, BMI, Gender","Exercise, Sleep",Unknown,Low,5.89,4.67,Moderate,3.87,8.83,4.58,1.07,2.21,6.22,5.5,2.74,8.29,4.54,1.9,2.85,6.14,5.72
Measles,6.26,Moderate,"Blood Sugar Level, Age, Family History","Diet, Smoking",Moderate,Moderate,9.37,7.61,Moderate,7.02,5.41,3.25,8.41,8.29,4.3,5.84,9.59,2.18,5.35,7.46,9.11,3.26,8.18
Crohns Disease,6.13,Moderate,"Age, Stress Level, Alcohol Consumption","Exercise, Stress",Moderate,Moderate,5.69,6.47,Low,6.58,9.22,9.28,4.45,9.91,6.23,5.66,2.88,9.26,1.62,2.2,4.02,8.66,5.84
Fibromyalgia,6.77,High,"Environmental Factors, Cholesterol Level, Diet Quality","Stress, Sleep",Low,High,9.1,8.68,Low,7.83,3.69,9.92,4.75,9.2,7.79,6.39,7.23,6.58,8.98,2.74,5.34,9.62,4.71
Gout,4.37,Moderate,"Gender, Diet Quality, Blood Sugar Level","Sleep, Stress",Low,Moderate,6.18,4.2,Low,4.35,6.93,3.49,7.1,5.62,2.29,1.96,1.3,4.69,1.49,3.0,9.87,2.73,6.42
Flu,5.2,Moderate,"Stress Level, Physical Activity, Environmental Factors","Diet, Smoking",High,Low,6.52,5.54,Low,5.75,8.59,3.51,3.21,5.13,4.59,4.52,7.94,7.49,3.37,6.99,2.24,2.35,7.06
Lung Cancer,5.27,Moderate,"Diet Quality, Blood Pressure, Sleep Quality","Exercise, Stress",Unknown,Low,7.77,6.13,Low,6.91,8.92,3.39,6.18,9.91,6.39,2.64,4.37,4.49,9.04,2.25,5.48,2.17,1.67
Appendicitis,6.02,Moderate,"Cholesterol Level, Physical Activity, Diet Quality","Diet, Exercise",Moderate,High,4.91,5.42,Low,1.26,8.82,3.99,8.14,1.94,9.02,5.35,6.57,9.69,8.27,9.62,2.33,7.56,1.75
Chronic Fatigue,5.3,Moderate,"Family History, Alcohol Consumption, Blood Pressure","Stress, Smoking",Unknown,Moderate,7.89,5.07,Low,8.44,1.34,3.76,4.69,7.85,3.75,3.81,2.93,7.35,1.04,8.37,9.41,3.69,7.78
Sciatica,6.83,High,"Gender, BMI, Blood Sugar Level","Smoking, Exercise",Moderate,Moderate,7.03,6.3,Low,5.9,4.55,7.1,9.34,5.84,7.66,8.78,9.68,3.18,8.97,5.21,9.53,6.71,3.21
Common Cold,5.72,Moderate,"Alcohol Consumption, Environmental Factors, Stress Level","Diet, Stress",High,High,7.29,5.99,Moderate,8.66,1.94,7.93,9.44,2.79,4.76,7.89,2.36,9.68,3.58,4.19,6.19,3.94,6.8
Laryngitis,5.37,Moderate,"Family History, Diet Quality, Age","Exercise, Diet",High,Moderate,5.75,6.44,Moderate,7.25,3.14,2.78,6.59,9.62,3.15,8.78,6.99,9.14,3.11,1.55,1.33,8.85,2.91
Flu,6.15,Moderate,"Sleep Quality, Diet Quality, Blood Pressure","Smoking, Diet",Moderate,Low,9.06,6.71,High,6.31,8.48,3.05,9.57,5.61,7.53,4.11,8.12,7.32,1.26,5.65,8.33,4.25,6.53
GERD,5.51,Moderate,"Stress Level, Family History, Alcohol Consumption","Smoking, Sleep",Unknown,Moderate,6.33,6.15,Low,2.94,3.04,8.95,8.08,3.56,5.08,6.15,3.72,9.28,2.46,3.96,8.14,9.34,2.44
Acid Reflux,4.88,Moderate,"Stress Level, Gender, Physical Activity","Exercise, Diet",Moderate,Low,5.49,6.09,High,3.01,4.74,9.72,6.5,1.19,2.39,5.28,2.98,2.27,9.39,2.73,6.81,2.52,8.72
Prostate Cancer,6.53,High,"Gender, Physical Activity, Diet Quality","Exercise, Sleep",High,High,6.14,5.97,Low,4.32,2.4,7.79,5.7,5.46,7.76,6.36,6.76,9.18,6.77,9.21,7.42,8.55,3.71
Schizophrenia,5.8,Moderate,"Sleep Quality, Physical Activity, Family History","Smoking, Stress",High,Low,7.18,5.97,High,7.01,5.14,4.38,3.67,5.35,9.36,3.46,8.33,3.06,8.22,2.59,5.78,7.02,7.86
Lung Cancer,5.42,Moderate,"Diet Quality, Stress Level, Smoking Status","Exercise, Stress",Moderate,Low,5.84,5.17,Low,7.0,1.57,6.4,9.42,6.85,5.7,6.38,4.26,1.13,2.1,2.35,7.37,8.93,6.39
Arthritis,4.9,Moderate,"Environmental Factors, Blood Pressure, Stress Level","Smoking, Exercise",Moderate,Low,4.57,4.98,Moderate,7.66,6.71,4.01,5.14,6.86,3.31,1.73,9.17,3.46,6.47,2.61,2.31,1.74,7.36
Bronchitis,4.93,Moderate,"BMI, Physical Activity, Family History","Smoking, Stress",Low,Low,6.87,5.34,Moderate,6.4,7.93,8.35,6.72,4.13,1.49,6.46,3.48,4.74,2.91,5.07,2.89,5.64,2.78
Insomnia,4.52,Moderate,"Age, Environmental Factors, Blood Sugar Level","Diet, Stress",Moderate,Low,6.46,5.85,Moderate,1.87,2.1,5.19,5.58,4.11,9.89,6.71,1.65,1.38,1.32,8.85,6.65,2.89,5.09
Vertigo,5.33,Moderate,"Age, Physical Activity, Cholesterol Level","Diet, Exercise",Moderate,High,5.7,4.93,High,4.65,8.85,5.81,2.74,3.16,8.26,2.49,6.97,8.06,2.22,6.74,4.54,2.32,7.76
Measles,6.48,Moderate,"Smoking Status, Blood Sugar Level, Alcohol Consumption","Stress, Sleep",Moderate,Low,5.7,6.78,Low,9.8,7.3,8.52,4.67,2.49,4.91,6.9,7.64,7.51,9.64,8.34,1.74,2.54,8.79
Bronchitis,5.78,Moderate,"Family History, Environmental Factors, Sleep Quality","Smoking, Diet",Moderate,Moderate,5.69,5.71,Low,8.82,4.75,3.64,4.57,9.47,8.12,6.41,8.31,2.74,1.91,2.43,8.88,4.69,6.16
Acid Reflux,5.81,Moderate,"Blood Pressure, Cholesterol Level, Sleep Quality","Stress, Sleep",High,Low,8.49,6.37,Low,3.85,5.99,7.85,5.35,3.8,2.1,3.57,4.08,6.67,4.61,8.23,7.42,8.23,9.62
Typhoid,6.03,Moderate,"Family History, Blood Sugar Level, BMI","Smoking, Diet",Low,Moderate,9.02,6.58,Moderate,5.33,8.77,5.88,6.8,2.65,9.61,5.15,7.97,2.71,3.3,7.05,8.49,3.85,6.93
Celiac Disease,4.82,Moderate,"Environmental Factors, Gender, BMI","Smoking, Exercise",Moderate,Moderate,7.09,5.04,High,9.01,5.93,2.18,2.76,4.49,3.3,8.18,2.07,2.49,8.59,8.52,4.13,3.11,2.66
Peptic Ulcer,5.41,Moderate,"Diet Quality, Environmental Factors, Smoking Status","Exercise, Sleep",Moderate,High,6.09,5.58,Low,7.8,7.34,9.64,9.0,6.16,8.31,2.72,1.48,5.61,5.18,7.04,1.23,1.13,3.14
PTSD,6.14,Moderate,"Diet Quality, Cholesterol Level, Age","Sleep, Smoking",Unknown,Moderate,8.45,7.95,Moderate,2.45,4.72,8.5,9.47,7.26,8.46,2.66,3.88,5.75,2.43,6.26,7.46,9.74,6.9
Lactose Intolerance,4.1,Moderate,"Blood Sugar Level, Environmental Factors, Diet Quality","Sleep, Exercise",High,Low,6.14,4.32,Moderate,4.07,1.21,1.7,4.63,9.68,3.56,2.34,1.5,6.02,3.37,1.4,2.36,8.84,6.73
Schizophrenia,5.22,Moderate,"Family History, Physical Activity, Blood Pressure","Diet, Exercise",Moderate,Low,6.43,6.69,Moderate,6.63,7.8,5.83,1.02,4.33,3.73,5.81,5.02,3.9,3.18,3.77,8.36,9.95,3.7
Panic Disorder,5.75,Moderate,"Blood Sugar Level, Blood Pressure, Environmental Factors","Sleep, Exercise",Unknown,Moderate,7.06,6.67,High,3.68,3.98,4.56,6.82,9.18,3.23,2.45,9.8,4.45,1.47,4.8,9.83,8.77,7.48
PTSD,6.44,Moderate,"Stress Level, Blood Sugar Level, Alcohol Consumption","Smoking, Exercise",Low,Moderate,7.14,7.71,Moderate,5.11,7.94,3.39,6.2,9.17,8.18,9.12,6.27,8.99,1.98,5.16,6.77,8.77,3.06
Hemorrhoids,6.66,High,"Blood Pressure, Age, Gender","Exercise, Stress",Moderate,Low,8.0,7.78,Moderate,6.48,4.91,6.7,8.72,7.06,9.21,4.81,8.3,2.92,1.09,8.71,8.33,7.05,8.96
Cluster Headache,5.65,Moderate,"Diet Quality, BMI, Family History","Stress, Exercise",Unknown,Low,6.52,7.17,Low,8.93,1.25,6.54,4.32,5.44,2.29,4.84,7.8,6.94,9.09,9.19,3.31,6.61,2.61
Salmonella,4.97,Moderate,"Gender, Cholesterol Level, Blood Sugar Level","Stress, Smoking",High,Moderate,4.4,5.35,High,5.82,7.08,3.73,3.67,1.96,8.03,7.09,5.6,5.53,2.49,7.33,3.62,4.28,3.32
Chronic Fatigue,6.41,Moderate,"Alcohol Consumption, Gender, Stress Level","Stress, Diet",Moderate,Moderate,7.37,7.42,High,7.87,9.87,9.04,3.97,8.31,8.71,8.18,7.63,1.42,7.76,3.54,1.61,9.76,2.01
Schizophrenia,6.36,Moderate,"Alcohol Consumption, Sleep Quality, Age","Sleep, Smoking",Low,High,6.69,7.0,High,6.2,9.99,1.68,9.76,8.21,8.98,7.38,9.79,2.33,3.22,6.38,6.96,2.94,5.2
Vertigo,5.05,Moderate,"Stress Level, Environmental Factors, Sleep Quality","Sleep, Exercise",Unknown,High,5.41,5.44,Moderate,9.86,5.59,8.51,2.76,6.06,3.18,5.35,5.26,3.61,4.03,2.85,6.47,6.14,1.02
Diabetes Type 2,6.56,High,"Sleep Quality, Physical Activity, Stress Level","Stress, Smoking",High,Moderate,7.16,7.28,Low,9.7,4.15,9.5,6.05,7.2,8.76,6.47,5.54,3.7,8.55,6.35,2.95,7.57,5.38
Diabetes Type 2,4.77,Moderate,"BMI, Diet Quality, Physical Activity","Diet, Sleep",Low,Moderate,6.4,4.95,Low,4.48,1.97,5.85,6.29,1.63,1.94,8.23,3.5,5.97,9.59,8.18,2.79,1.88,4.46
Lung Cancer,5.14,Moderate,"Gender, Age, Environmental Factors","Stress, Sleep",Moderate,Moderate,6.76,4.86,Moderate,1.76,8.33,5.64,8.73,5.29,7.25,2.49,7.42,5.33,4.66,1.64,7.48,2.57,3.43
Hepatitis A,5.88,Moderate,"Age, Sleep Quality, Stress Level","Smoking, Exercise",Low,Low,7.7,6.86,Moderate,9.99,6.94,7.31,3.15,5.14,2.22,4.13,6.17,3.77,7.31,5.54,4.53,8.01,8.09
Osteoarthritis,4.98,Moderate,"Environmental Factors, Blood Sugar Level, Stress Level","Exercise, Sleep",Moderate,Low,5.24,6.34,High,6.01,7.37,9.6,1.35,5.68,1.16,3.64,6.85,6.25,3.29,4.7,2.5,4.49,6.81
Flu,6.42,Moderate,"Blood Sugar Level, Physical Activity, Diet Quality","Diet, Exercise",Unknown,Low,6.71,6.33,High,4.34,5.03,9.77,3.53,4.08,6.94,6.54,3.32,6.05,9.51,7.52,8.24,8.5,6.49
Meniere Disease,5.55,Moderate,"Smoking Status, Age, Cholesterol Level","Diet, Exercise",Low,High,5.96,5.67,Low,2.59,4.56,7.91,1.95,7.39,6.91,7.17,7.35,6.99,6.74,1.51,8.5,6.26,1.83
Epilepsy,5.58,Moderate,"Gender, Cholesterol Level, Physical Activity","Diet, Smoking",Unknown,Moderate,6.18,6.77,Moderate,6.61,4.92,6.44,1.49,5.57,2.69,7.52,9.6,2.77,4.32,7.66,7.64,2.54,8.36
Schizophrenia,5.04,Moderate,"Diet Quality, Blood Sugar Level, Age","Sleep, Exercise",Low,High,4.6,5.97,Moderate,7.39,4.64,8.19,6.15,2.87,9.69,2.75,8.87,2.13,3.76,1.49,1.4,7.02,4.17
Meniere Disease,6.33,Moderate,"Blood Pressure, Alcohol Consumption, Stress Level","Exercise, Smoking",Low,High,5.13,6.62,Low,8.1,7.28,7.47,3.7,8.98,9.64,9.3,6.11,2.26,1.07,9.16,9.44,3.5,2.65
Lung Cancer,5.23,Moderate,"Family History, Cholesterol Level, Blood Sugar Level","Stress, Sleep",Low,Low,7.33,6.25,Moderate,2.8,2.09,6.95,9.73,3.56,1.48,7.84,4.67,4.09,6.48,4.93,4.76,4.21,9.56
Obesity,5.48,Moderate,"Blood Pressure, Environmental Factors, Blood Sugar Level","Exercise, Sleep",Low,High,7.97,5.18,Moderate,8.51,6.13,9.03,5.11,7.32,3.81,3.78,2.38,6.47,2.86,6.63,5.25,7.4,2.07
Dengue Fever,5.62,Moderate,"Alcohol Consumption, Stress Level, Physical Activity","Diet, Stress",High,High,7.18,5.11,Moderate,1.32,6.01,1.38,3.89,3.96,6.23,5.89,3.54,4.62,8.23,6.44,9.33,9.97,7.91
Heart Failure,5.65,Moderate,"Cholesterol Level, Family History, Blood Sugar Level","Diet, Exercise",Unknown,Low,5.01,6.99,Moderate,2.21,3.3,5.73,4.22,2.32,4.57,2.91,6.89,8.77,8.44,7.42,6.5,6.27,9.6
Deep Vein Thrombosis,5.92,Moderate,"Stress Level, Cholesterol Level, Age","Smoking, Exercise",Unknown,Moderate,6.47,6.68,High,3.54,8.76,8.2,4.81,5.18,7.85,1.57,3.13,9.51,3.63,8.58,4.51,7.78,5.81
Food Poisoning,5.71,Moderate,"Diet Quality, Smoking Status, Sleep Quality","Stress, Smoking",Low,Low,5.72,7.13,Low,4.14,1.86,6.41,9.94,4.3,8.12,1.15,5.41,4.1,7.74,8.62,1.64,6.58,9.95
Dermatitis,6.13,Moderate,"Age, Gender, Environmental Factors","Stress, Exercise",Moderate,High,7.52,7.64,Moderate,6.7,8.15,2.78,4.97,3.95,9.94,2.76,9.65,9.67,3.46,9.05,7.72,4.81,2.17
Food Poisoning,4.95,Moderate,"Age, Alcohol Consumption, Stress Level","Stress, Smoking",High,High,5.25,5.08,Moderate,8.22,1.39,3.37,7.58,6.08,1.5,3.05,2.06,1.36,6.11,8.42,6.84,9.59,3.69
Gout,6.01,Moderate,"Age, Alcohol Consumption, Environmental Factors","Sleep, Exercise",High,Low,8.54,5.7,Moderate,5.32,5.75,5.55,7.74,8.4,4.65,2.51,6.45,5.02,6.63,1.4,9.85,8.38,6.47
Chickenpox,5.66,Moderate,"Cholesterol Level, Diet Quality, Stress Level","Stress, Diet",Low,Low,8.41,5.5,Low,6.29,4.83,7.14,5.26,6.87,3.11,1.59,7.01,6.63,6.3,2.64,5.65,8.64,7.21
Eczema,4.47,Moderate,"Blood Pressure, Smoking Status, Sleep Quality","Exercise, Smoking",Unknown,Moderate,3.85,4.06,Moderate,4.59,9.78,6.05,6.0,1.66,7.11,2.62,3.84,4.1,2.03,7.02,2.5,2.1,3.19
Lactose Intolerance,5.05,Moderate,"Environmental Factors, Sleep Quality, Gender","Stress, Smoking",High,Low,5.24,4.74,Low,4.94,5.3,8.27,6.44,6.68,9.09,2.99,3.28,8.45,1.46,3.92,2.56,1.36,5.95
Crohns Disease,5.54,Moderate,"Sleep Quality, Age, Blood Sugar Level","Diet, Sleep",Low,High,7.41,5.58,High,4.5,6.18,1.56,7.57,4.23,1.34,9.37,2.82,7.21,8.41,9.67,1.02,7.23,6.5
Osteoarthritis,5.58,Moderate,"Diet Quality, Smoking Status, Alcohol Consumption","Sleep, Exercise",Unknown,High,7.52,5.78,Low,9.17,7.3,5.48,6.51,4.12,8.87,3.88,7.79,7.81,1.42,6.82,3.29,3.13,2.53
Bipolar Disorder,5.36,Moderate,"Diet Quality, Physical Activity, Stress Level","Diet, Sleep",High,Moderate,4.84,6.56,High,1.45,7.94,8.59,8.97,4.23,1.24,9.68,4.37,7.46,2.22,1.32,9.48,6.14,1.9
Kidney Stones,4.82,Moderate,"Physical Activity, Blood Pressure, Blood Sugar Level","Stress, Smoking",High,High,3.92,6.08,Moderate,1.08,8.58,3.11,2.57,6.07,8.08,1.2,1.82,6.08,5.0,3.39,9.3,6.82,4.4
Laryngitis,5.48,Moderate,"Sleep Quality, Stress Level, Gender","Exercise, Diet",High,High,5.72,6.47,Moderate,1.93,1.89,6.76,5.42,4.23,9.8,2.98,7.11,5.34,3.82,6.33,8.79,5.72,6.66
Glaucoma,5.8,Moderate,"Blood Sugar Level, Gender, Sleep Quality","Exercise, Diet",Moderate,High,5.45,5.34,Moderate,9.5,6.92,2.87,4.24,6.93,1.91,4.86,2.09,9.4,9.68,3.71,8.76,2.35,8.05
Panic Disorder,6.05,Moderate,"Diet Quality, Gender, Environmental Factors","Exercise, Stress",Low,Low,7.79,7.42,Moderate,7.76,9.17,4.16,8.36,1.0,8.86,1.62,7.19,5.84,8.16,1.42,8.77,4.6,7.85
Tuberculosis,5.54,Moderate,"Family History, Age, Environmental Factors","Diet, Exercise",High,Low,7.98,6.39,Low,8.64,8.9,1.17,6.22,5.53,4.99,8.5,8.79,5.25,1.94,8.28,1.51,1.19,6.62
Acid Reflux,5.85,Moderate,"Diet Quality, Alcohol Consumption, BMI","Exercise, Stress",Moderate,Moderate,4.87,5.57,High,4.98,1.7,7.73,1.36,7.73,4.91,3.87,8.82,7.8,5.67,5.74,9.74,8.97,2.87
Tension Headache,5.71,Moderate,"Alcohol Consumption, Diet Quality, BMI","Exercise, Smoking",High,High,5.24,6.42,Moderate,5.89,7.39,4.54,7.06,9.14,2.37,2.76,2.92,6.56,9.94,7.77,4.17,6.94,2.48
Bronchitis,6.02,Moderate,"Alcohol Consumption, Blood Pressure, Age","Smoking, Diet",Low,Low,6.22,5.44,Low,8.69,2.16,9.88,4.69,7.74,3.13,7.0,6.83,9.17,2.57,2.7,5.66,8.5,5.6
Bipolar Disorder,4.99,Moderate,"Sleep Quality, Smoking Status, Alcohol Consumption","Smoking, Exercise",Unknown,Moderate,7.35,6.13,Moderate,9.55,3.33,3.0,1.89,2.24,8.42,4.83,2.55,5.07,8.17,8.19,4.16,6.92,1.56
Alzheimers Disease,5.99,Moderate,"Alcohol Consumption, Diet Quality, Age","Sleep, Diet",High,Low,5.06,6.1,High,3.87,5.17,6.8,9.03,8.13,4.69,9.77,6.07,2.06,2.63,9.31,2.67,4.41,9.23
Mumps,4.5,Moderate,"Diet Quality, Blood Sugar Level, Cholesterol Level","Exercise, Stress",Low,High,5.44,4.63,Moderate,7.64,3.23,2.8,9.15,7.86,1.51,5.15,5.03,1.92,5.55,3.51,5.34,2.56,1.76
Macular Degeneration,7.18,High,"Blood Sugar Level, Cholesterol Level, Sleep Quality","Sleep, Stress",Unknown,High,9.43,7.42,Moderate,8.1,8.31,7.91,2.74,6.63,4.66,3.57,9.52,6.71,9.75,4.66,9.54,8.96,9.46
Ear Infection,5.0,Moderate,"Blood Pressure, Blood Sugar Level, Cholesterol Level","Smoking, Diet",Unknown,Moderate,4.46,5.42,Moderate,7.28,3.95,4.68,3.04,7.03,4.51,6.97,4.64,6.42,3.98,5.39,1.54,2.75,7.76
Schizophrenia,5.91,Moderate,"Physical Activity, Blood Pressure, BMI","Exercise, Stress",Low,High,5.05,5.44,Low,6.86,4.11,9.28,7.94,2.04,5.43,5.75,5.61,9.0,2.88,4.26,2.68,8.39,8.57
Tension Headache,6.28,Moderate,"Gender, Physical Activity, Diet Quality","Sleep, Exercise",Moderate,Moderate,5.62,6.16,Low,6.54,6.4,7.05,4.2,6.63,8.71,6.56,8.04,2.82,3.96,5.7,9.79,2.12,9.41
