drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Ibuprofen,Diphenhydramine,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Sertraline,Albuterol,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Insulin,Ibuprofen,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Insulin,Tramadol,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Levothyroxine,Aspirin,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Gabapentin,Cetirizine,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Losartan,Lorazepam,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Metformin,Amoxicillin,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Omeprazole,Losartan,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Tramadol,Metformin,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Levothyroxine,Warfarin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Metformin,Montelukast,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Ibuprofen,Warfarin,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Amoxicillin,Ibuprofen,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Atorvastatin,Omeprazole,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Ibuprofen,Lisinopril,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Omeprazole,Cetirizine,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Lisinopril,Aspirin,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Omeprazole,Lisinopril,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Metformin,Sertraline,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),All ages
Losartan,Warfarin,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Tramadol,Aspirin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Sertraline,Prednisone,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Aspirin,Lorazepam,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Elderly
Levothyroxine,Furosemide,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Furosemide,Gabapentin,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Lorazepam,Losartan,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Lisinopril,Tramadol,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Gabapentin,Amoxicillin,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Montelukast,Atorvastatin,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Diphenhydramine,Montelukast,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Cetirizine,Amoxicillin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Atorvastatin,Levothyroxine,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Albuterol,Levothyroxine,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Ibuprofen,Amoxicillin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Levothyroxine,Warfarin,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Omeprazole,Furosemide,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Diphenhydramine,Acetaminophen,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Levothyroxine,Prednisone,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Cetirizine,Hydrochlorothiazide,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,All ages
Sertraline,Tramadol,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Cetirizine,Acetaminophen,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Atorvastatin,Levothyroxine,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Furosemide,Losartan,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Insulin,Acetaminophen,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Diphenhydramine,Amoxicillin,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Aspirin,Lisinopril,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Metformin,Montelukast,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Sertraline,Amoxicillin,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Lorazepam,Acetaminophen,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Ibuprofen,Albuterol,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Levothyroxine,Losartan,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Omeprazole,Diphenhydramine,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Amoxicillin,Acetaminophen,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Ibuprofen,Omeprazole,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Aspirin,Metformin,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Ibuprofen,Warfarin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Acetaminophen,Levothyroxine,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Aspirin,Cetirizine,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Elderly
Ibuprofen,Warfarin,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Lisinopril,Warfarin,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Clonazepam,Acetaminophen,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),All ages
Cetirizine,Ibuprofen,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),All ages
Diphenhydramine,Sertraline,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Ibuprofen,Albuterol,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Albuterol,Prednisone,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Insulin,Lorazepam,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Furosemide,Aspirin,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Furosemide,Clonazepam,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Metformin,Lorazepam,Major,Pharmacodynamic,Substantial efficacy loss,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Adults only
Losartan,Prednisone,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Metformin,Atorvastatin,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Levothyroxine,Lorazepam,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Lorazepam,Gabapentin,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Insulin,Lisinopril,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Warfarin,Hydrochlorothiazide,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Lisinopril,Lorazepam,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Ibuprofen,Diphenhydramine,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Albuterol,Ibuprofen,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Furosemide,Albuterol,Minor,Synergistic,Mild side effect increase,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Gabapentin,Furosemide,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Prednisone,Hydrochlorothiazide,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Furosemide,Gabapentin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Omeprazole,Aspirin,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Albuterol,Clonazepam,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Tramadol,Metformin,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Sertraline,Warfarin,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Acetaminophen,Insulin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Hydrochlorothiazide,Montelukast,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Montelukast,Losartan,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Gabapentin,Atorvastatin,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Warfarin,Sertraline,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Lorazepam,Metformin,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Montelukast,Gabapentin,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Aspirin,Clonazepam,Minor,Pharmacokinetic,Slight efficacy reduction,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Adults only
Hydrochlorothiazide,Amoxicillin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Furosemide,Atorvastatin,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Albuterol,Amoxicillin,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Atorvastatin,Cetirizine,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Sertraline,Levothyroxine,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Elderly
Lorazepam,Acetaminophen,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Pediatric
