disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M35.1,Cardiovascular,No,3-7,10.84,2400,All ages,May lead to various complications if left untreated,2025-05-24
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y81.1,Endocrine,No,Chronic,10.845,1457,Adults,May lead to various complications if left untreated,2024-09-09
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M79.3,Endocrine,Partially,3-7,7.325,1468,Elderly,May lead to various complications if left untreated,2025-02-18
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G64.6,Respiratory,Yes,14-30,12.243,4742,Children,May lead to various complications if left untreated,2025-08-12
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L37.7,Cardiovascular,Partially,7-14,0.074,3767,Children,May lead to various complications if left untreated,2024-12-20
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D46.7,Infectious,Partially,14-30,1.437,4424,Adults,May lead to various complications if left untreated,2025-04-29
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W35.8,Respiratory,Partially,Chronic,13.857,4135,Elderly,May lead to various complications if left untreated,2025-01-11
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H42.2,Infectious,No,3-7,6.383,1182,Children,May lead to various complications if left untreated,2025-03-14
Asthma,Asthma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F90.5,Cardiovascular,Yes,14-30,8.304,4086,Children,May lead to various complications if left untreated,2025-07-15
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E39.5,Cardiovascular,Partially,7-14,1.369,173,All ages,May lead to various complications if left untreated,2025-04-19
Constipation,Constipation is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N44.8,Endocrine,Yes,Chronic,6.31,2842,Children,May lead to various complications if left untreated,2025-03-27
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R65.0,Neurological,Partially,7-14,14.762,345,Children,May lead to various complications if left untreated,2025-01-16
Lymphoma,Lymphoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L85.5,Endocrine,Partially,Chronic,11.926,4382,Elderly,May lead to various complications if left untreated,2024-09-27
Thyroid Disorder,Thyroid Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V60.9,Infectious,No,14-30,14.686,2103,Adults,May lead to various complications if left untreated,2025-02-05
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W86.8,Neurological,No,7-14,5.884,4928,Children,May lead to various complications if left untreated,2025-02-16
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W45.0,Neurological,Yes,14-30,8.759,2077,Adults,May lead to various complications if left untreated,2025-06-05
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B73.2,Neurological,Partially,14-30,14.231,3700,All ages,May lead to various complications if left untreated,2025-06-21
Osteoarthritis,Osteoarthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N39.0,Cardiovascular,Yes,7-14,8.538,1880,Children,May lead to various complications if left untreated,2024-09-25
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E40.4,Endocrine,No,14-30,8.27,1071,Elderly,May lead to various complications if left untreated,2025-03-26
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R28.5,Neurological,Yes,Chronic,0.927,2224,Elderly,May lead to various complications if left untreated,2024-11-09
COVID-19,"Coronavirus disease caused by SARS-CoV-2 virus affecting respiratory system, cardiovascular system, and multiple organs. Can range from asymptomatic to severe respiratory failure.",U07.1,Infectious Disease,Yes,5-14,2.1,1200,Elderly,May lead to various complications if left untreated,2024-12-25
Sinusitis,Sinusitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R49.3,Cardiovascular,No,Chronic,8.861,2683,All ages,May lead to various complications if left untreated,2024-11-22
Vertigo,Vertigo is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q65.9,Neurological,Partially,14-30,2.46,1393,Adults,May lead to various complications if left untreated,2025-05-02
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M25.0,Infectious,Partially,7-14,0.071,4067,Children,May lead to various complications if left untreated,2024-09-06
Panic Disorder,Panic Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L54.9,Endocrine,No,14-30,4.442,788,Adults,May lead to various complications if left untreated,2025-05-09
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X21.7,Cardiovascular,Yes,3-7,7.128,2226,Adults,May lead to various complications if left untreated,2025-02-24
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W90.0,Cardiovascular,Partially,3-7,11.496,661,Elderly,May lead to various complications if left untreated,2025-08-23
Chronic Fatigue,Chronic Fatigue is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R96.2,Neurological,Partially,14-30,3.474,3340,All ages,May lead to various complications if left untreated,2025-08-03
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S41.6,Neurological,Partially,3-7,7.183,3221,Children,May lead to various complications if left untreated,2024-12-17
Ear Infection,Ear Infection is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E42.6,Infectious,Yes,14-30,5.442,3716,Children,May lead to various complications if left untreated,2025-02-09
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N26.3,Cardiovascular,Yes,7-14,6.322,4594,Children,May lead to various complications if left untreated,2024-09-27
Pneumonia,Pneumonia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P67.2,Cardiovascular,Yes,7-14,8.797,3918,Elderly,May lead to various complications if left untreated,2025-07-04
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U48.3,Infectious,No,7-14,2.913,4774,All ages,May lead to various complications if left untreated,2024-12-07
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J10.6,Cardiovascular,Yes,Chronic,12.482,4192,Adults,May lead to various complications if left untreated,2025-01-02
Pneumonia,Pneumonia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E31.8,Endocrine,No,14-30,7.288,3169,All ages,May lead to various complications if left untreated,2025-02-19
Chickenpox,Chickenpox is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S81.5,Endocrine,Yes,14-30,7.985,2708,Elderly,May lead to various complications if left untreated,2024-09-10
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,All ages,May lead to various complications if left untreated,2024-11-22
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R93.2,Endocrine,Yes,3-7,12.472,297,Adults,May lead to various complications if left untreated,2024-09-15
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W45.0,Infectious,No,3-7,7.88,2004,Elderly,May lead to various complications if left untreated,2025-03-05
Diabetes Type 2,Diabetes Type 2 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I18.5,Respiratory,Yes,Chronic,5.032,1287,Adults,May lead to various complications if left untreated,2024-10-14
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D77.4,Neurological,Yes,7-14,4.488,4418,Children,May lead to various complications if left untreated,2024-12-13
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q93.0,Neurological,Partially,3-7,0.137,1147,Elderly,May lead to various complications if left untreated,2025-03-17
Obesity,Obesity is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I13.2,Neurological,Yes,7-14,10.312,2848,Adults,May lead to various complications if left untreated,2025-07-26
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z94.6,Neurological,No,14-30,3.799,69,Children,May lead to various complications if left untreated,2025-09-04
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E36.6,Respiratory,Yes,3-7,5.7,2593,Children,May lead to various complications if left untreated,2024-10-10
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T85.8,Respiratory,Yes,3-7,10.343,1804,Elderly,May lead to various complications if left untreated,2024-11-13
Prostate Cancer,Prostate Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B93.2,Infectious,No,3-7,6.178,193,Adults,May lead to various complications if left untreated,2024-09-26
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R73.9,Cardiovascular,Partially,3-7,7.494,2654,Elderly,May lead to various complications if left untreated,2025-04-02
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y88.1,Endocrine,No,Chronic,0.38,805,Children,May lead to various complications if left untreated,2025-04-29
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G40.8,Endocrine,No,14-30,0.552,1658,Elderly,May lead to various complications if left untreated,2025-08-19
Constipation,Constipation is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y87.7,Neurological,Partially,3-7,9.316,1721,Elderly,May lead to various complications if left untreated,2025-07-07
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K77.6,Endocrine,Yes,14-30,10.836,774,All ages,May lead to various complications if left untreated,2024-09-16
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H77.6,Respiratory,No,Chronic,8.32,366,Elderly,May lead to various complications if left untreated,2025-09-03
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z64.8,Respiratory,No,Chronic,14.022,1214,All ages,May lead to various complications if left untreated,2024-09-12
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B54.4,Infectious,Partially,Chronic,13.963,2508,All ages,May lead to various complications if left untreated,2024-12-14
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Children,May lead to various complications if left untreated,2024-10-03
Ear Infection,Ear Infection is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H27.6,Infectious,No,3-7,12.482,1120,Children,May lead to various complications if left untreated,2025-08-07
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G97.8,Respiratory,No,7-14,14.624,1366,Children,May lead to various complications if left untreated,2025-09-01
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z81.9,Neurological,Yes,Chronic,11.541,3359,Children,May lead to various complications if left untreated,2025-01-27
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P17.7,Infectious,No,3-7,12.435,742,Children,May lead to various complications if left untreated,2024-12-25
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R43.5,Cardiovascular,No,Chronic,12.683,1151,Adults,May lead to various complications if left untreated,2025-05-14
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L24.5,Cardiovascular,No,Chronic,12.857,871,All ages,May lead to various complications if left untreated,2025-09-01
Acid Reflux,Acid Reflux is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y15.8,Cardiovascular,Partially,Chronic,1.917,53,All ages,May lead to various complications if left untreated,2025-05-23
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W44.4,Respiratory,Partially,7-14,14.673,3868,Elderly,May lead to various complications if left untreated,2025-04-29
Chronic Fatigue,Chronic Fatigue is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U67.8,Infectious,Yes,Chronic,10.77,3255,Adults,May lead to various complications if left untreated,2025-05-22
Hepatitis B,Hepatitis B is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E94.2,Cardiovascular,Partially,3-7,12.543,3395,Elderly,May lead to various complications if left untreated,2024-09-26
Multiple Sclerosis,Multiple Sclerosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G89.5,Infectious,Yes,3-7,13.913,2707,Adults,May lead to various complications if left untreated,2025-07-17
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E35.0,Cardiovascular,Yes,Chronic,3.419,4571,All ages,May lead to various complications if left untreated,2025-02-28
Lung Cancer,Lung Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A51.5,Infectious,No,3-7,1.653,1882,Children,May lead to various complications if left untreated,2025-08-30
Coronary Artery Disease,Coronary Artery Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H92.6,Respiratory,Yes,14-30,12.137,4741,All ages,May lead to various complications if left untreated,2024-11-16
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I55.2,Respiratory,No,7-14,2.213,1879,Elderly,May lead to various complications if left untreated,2025-04-08
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F71.0,Infectious,Yes,3-7,2.301,4048,Adults,May lead to various complications if left untreated,2025-06-30
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R51.6,Cardiovascular,No,7-14,13.066,871,Adults,May lead to various complications if left untreated,2025-02-18
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M88.7,Infectious,No,7-14,7.872,1803,Children,May lead to various complications if left untreated,2025-04-21
Multiple Sclerosis,Multiple Sclerosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W31.1,Infectious,No,Chronic,4.372,4093,All ages,May lead to various complications if left untreated,2025-03-24
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G17.9,Respiratory,No,14-30,1.441,3580,All ages,May lead to various complications if left untreated,2025-08-05
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U87.8,Respiratory,Partially,3-7,10.551,206,Adults,May lead to various complications if left untreated,2025-07-29
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S30.8,Endocrine,No,7-14,4.515,3403,Children,May lead to various complications if left untreated,2025-03-07
Hernia,Hernia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L56.7,Cardiovascular,Partially,14-30,12.702,2684,Children,May lead to various complications if left untreated,2025-06-26
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R14.2,Respiratory,No,7-14,11.973,3126,Adults,May lead to various complications if left untreated,2024-10-15
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B52.9,Respiratory,Yes,7-14,8.438,4590,Adults,May lead to various complications if left untreated,2024-10-05
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S53.5,Neurological,Partially,Chronic,0.546,2529,Adults,May lead to various complications if left untreated,2025-04-12
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y86.1,Cardiovascular,Yes,14-30,1.47,1049,Adults,May lead to various complications if left untreated,2024-12-10
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X88.5,Respiratory,Partially,Chronic,10.948,4267,Elderly,May lead to various complications if left untreated,2025-04-30
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V91.7,Infectious,Partially,Chronic,7.017,4048,Children,May lead to various complications if left untreated,2024-11-17
Hypertension,Hypertension is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O93.3,Respiratory,No,14-30,5.58,4673,Elderly,May lead to various complications if left untreated,2025-08-04
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P78.1,Neurological,Yes,Chronic,11.07,3562,All ages,May lead to various complications if left untreated,2025-05-12
Laryngitis,Laryngitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G30.0,Endocrine,Yes,3-7,8.786,4682,Adults,May lead to various complications if left untreated,2025-04-04
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P23.6,Neurological,No,7-14,11.368,20,Elderly,May lead to various complications if left untreated,2025-05-09
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S11.1,Infectious,Yes,3-7,1.294,3010,All ages,May lead to various complications if left untreated,2024-10-22
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Adults,May lead to various complications if left untreated,2024-11-09
Parkinsons Disease,Parkinsons Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U56.2,Cardiovascular,Yes,Chronic,9.827,1573,Children,May lead to various complications if left untreated,2025-06-02
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R78.0,Respiratory,No,7-14,8.254,511,Elderly,May lead to various complications if left untreated,2024-12-02
Chronic Fatigue,Chronic Fatigue is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U47.9,Infectious,No,7-14,12.756,596,All ages,May lead to various complications if left untreated,2024-12-15
Lung Cancer,Lung Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D40.3,Respiratory,Partially,3-7,0.928,1676,All ages,May lead to various complications if left untreated,2025-07-31
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q95.2,Cardiovascular,No,3-7,11.428,179,Adults,May lead to various complications if left untreated,2024-10-19
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P17.8,Neurological,Partially,7-14,6.257,2610,Elderly,May lead to various complications if left untreated,2024-12-10
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F80.7,Endocrine,Yes,3-7,0.969,4839,Adults,May lead to various complications if left untreated,2024-10-03
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U82.1,Respiratory,No,3-7,9.896,3680,Elderly,May lead to various complications if left untreated,2025-05-31
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O48.6,Endocrine,Yes,3-7,5.737,3123,Elderly,May lead to various complications if left untreated,2024-10-20
Anemia,Anemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A44.1,Respiratory,Partially,Chronic,6.137,2237,All ages,May lead to various complications if left untreated,2025-03-07
